title,year,mileage,transmission,fuel,body_color,body_status,body_type,volume,engine,price
هیوندای، توسان,2014,175000.0,اتوماتیک,9.6,سفید,بدون رنگ,crossover,2.4,4.0,2550000000
پراید، 131,1391,330000.0,دنده ای,6.7,سفید,بدون رنگ,passenger_car,1.3,4.0,215000000
پژو، 206,1398,132000.0,دنده ای,6.4,سفید,بدون رنگ,hatchback,1.4,4.0,445000000
تیبا، هاچ بک,1396,103000.0,دنده ای,6.9,آبی,بدون رنگ,hatchback,1.5,4.0,310000000
پژو، پارس,1401,37000.0,دنده ای,7.0,خاکستری,بدون رنگ,passenger_car,1.8,4.0,570000000
لکسوس، RX,2012,330000.0,اتوماتیک,9.9,سفید,گلگیر رنگ,suv,3.5,6.0,4990000000
پژو، 207,1400,95000.0,دنده ای,6.6,مشکی,دو لکه رنگ,hatchback,1.6,4.0,590000000
پژو، 206,1398,44000.0,دنده ای,6.4,سفید,بدون رنگ,hatchback,1.4,4.0,480000000
پژو، 206,1394,150000.0,دنده ای,6.4,آبی,بدون رنگ,hatchback,1.6,4.0,390000000
پژو، 206,1388,290000.0,دنده ای,6.4,نوک مدادی,دو لکه رنگ,hatchback,1.4,4.0,280000000
هیوندای، النترا,2017,44000.0,اتوماتیک,7.5,مشکی,بدون رنگ,passenger_car,2.0,4.0,2650000000
جک، S3,1401,30000.0,اتوماتیک,7.6,مشکی,بدون رنگ,crossover,1.6,4.0,980000000
مزدا، 3 نیو صندوق دار,1398,36000.0,اتوماتیک,7.6,سربی,صافکاری بدون رنگ,passenger_car,2.0,4.0,2295000000
ام وی ام، X22 PRO,1402,3500.0,دنده ای,7.1,سفید,بدون رنگ,crossover,1.5,4.0,915000000
پژو، 206,1397,132000.0,دنده ای,6.4,سفید,دو لکه رنگ,hatchback,1.6,4.0,388000000
پراید، 131,1394,221000.0,دنده ای,6.4,سفید,درب تعویض,passenger_car,1.3,4.0,220000000
پژو، 206 SD,1392,200000.0,دنده ای,6.6,نوک مدادی,دو لکه رنگ,passenger_car,1.6,4.0,410000000
مزدا، 3 نیو صندوق دار,1398,35000.0,اتوماتیک,7.6,سفید,بدون رنگ,passenger_car,2.0,4.0,2500000000
شاهین، G دنده ای,1401,32000.0,دنده ای,7.2,سفید,بدون رنگ,passenger_car,1.5,4.0,600000000
ام وی ام، 110,1390,240000.0,دنده ای,3.7,سفید,کاپوت رنگ,hatchback,0.8,3.0,140000000
پژو، 207,1402,22000.0,دنده ای,6.3,سفید,بدون رنگ,hatchback,1.4,4.0,610000000
مزدا، 3 قدیم,1386,270000.0,اتوماتیک,8.2,سفید,دو لکه رنگ,passenger_car,2.0,4.0,650000000
پراید، 131,1390,250000.0,دنده ای,6.7,سفید,یک لکه رنگ,passenger_car,1.3,4.0,165000000
پراید، 131,1393,177000.0,دنده ای,6.4,سفید,بدون رنگ,passenger_car,1.3,4.0,230000000
رانا، LX,1394,130000.0,دنده ای,6.9,سفید,بدون رنگ,passenger_car,1.6,4.0,350000000
پژو، 206,1398,36000.0,دنده ای,6.4,سفید,بدون رنگ,hatchback,1.4,4.0,470000000
پراید، 131,1390,100000.0,دنده ای,6.7,نوک مدادی,دو درب رنگ,passenger_car,1.3,4.0,200000000
دنا، پلاس EF7,1401,4500.0,اتوماتیک,7.8,سفید,بدون رنگ,passenger_car,1.7,4.0,880000000
رنو، پارس تندر,1397,88000.0,دنده ای,6.8,سفید,بدون رنگ,passenger_car,1.6,4.0,720000000
تیبا، صندوق دار,1395,180000.0,دنده ای,6.9,سفید,اتاق تعویض,passenger_car,1.5,4.0,225000000
کوییک، دنده ای,1398,16500.0,دنده ای,7.0,سفید,بدون رنگ,hatchback,1.5,4.0,358000000
هایما، S7,1397,68000.0,اتوماتیک,9.7,خاکستری,بدون رنگ,crossover,1.8,4.0,1250000000
فولکس، گلف,2018,45000.0,اتوماتیک,6.5,قرمز,بدون رنگ,hatchback,2.0,4.0,5500000000
تویوتا، کمری,2007,500000.0,دنده ای,8.2,خاکستری,چند لکه رنگ,passenger_car,2.4,4.0,1000000000
کوییک، دنده ای S,1402,21000.0,دنده ای,7.1,سفید,بدون رنگ,hatchback,1.5,4.0,417000000
ب ام و، سری 7,2017,7000.0,اتوماتیک,6.2,سفید,بدون رنگ,passenger_car,2.0,4.0,18000000000
تارا، اتوماتیک V4,1402,12000.0,اتوماتیک,7.3,تیتانیوم,بدون رنگ,passenger_car,1.6,4.0,885000000
