title,year,mileage,transmission,fuel,body_color,inside_color,body_status,description,body_type,volume,engine,acceleration,price
141,2014,175000.0,0,9.6,19,26,1,9876,1,2.4,4.0,10,2550000000
152,1391,330000.0,1,6.7,19,17,1,9298,3,1.3,4.0,13,215000000
160,1398,132000.0,1,6.4,19,7,1,590,2,1.4,4.0,14,445000000
53,1396,103000.0,1,6.9,0,7,1,8948,2,1.5,4.0,13,310000000
162,1400,95000.0,1,6.6,29,33,4,6768,2,1.6,4.0,11,590000000
160,1398,44000.0,1,6.4,19,28,1,2082,2,1.4,4.0,14,480000000
160,1388,290000.0,1,6.4,34,28,4,10170,2,1.4,4.0,14,280000000
138,2017,44000.0,0,7.5,29,28,1,4042,3,2.0,4.0,9,2650000000
54,1401,30000.0,0,7.6,29,28,1,7123,1,1.6,4.0,10,980000000
116,1398,36000.0,0,7.6,17,28,6,7875,3,2.0,4.0,9,2295000000
160,1397,132000.0,1,6.4,19,28,4,2196,2,1.6,4.0,11,388000000
152,1394,221000.0,1,6.4,19,21,2,5526,3,1.3,4.0,13,220000000
116,1398,35000.0,0,7.6,19,28,1,6622,3,2.0,4.0,9,2500000000
93,1401,32000.0,1,7.2,19,28,1,1537,3,1.5,4.0,13,600000000
9,1390,240000.0,1,3.7,19,13,10,5868,2,0.8,3.0,18,140000000
162,1402,22000.0,1,6.3,19,28,1,4938,2,1.4,4.0,11,610000000
115,1386,270000.0,0,8.2,19,28,4,7391,3,2.0,4.0,10,650000000
152,1390,250000.0,1,6.7,19,7,14,9543,3,1.3,4.0,13,165000000
68,1394,130000.0,1,6.9,19,28,1,7250,3,1.6,4.0,12,350000000
160,1398,36000.0,1,6.4,19,28,1,6065,2,1.4,4.0,14,470000000
152,1390,100000.0,1,6.7,34,33,3,919,3,1.3,4.0,13,200000000
63,1401,4500.0,0,7.8,19,28,1,1547,3,1.7,4.0,10,880000000
77,1397,88000.0,1,6.8,19,21,1,10355,3,1.6,4.0,10,720000000
52,1395,180000.0,1,6.9,19,28,0,3775,3,1.5,4.0,13,225000000
178,1398,16500.0,1,7.0,19,28,1,10100,2,1.5,4.0,13,358000000
132,1397,68000.0,0,9.7,9,26,1,4301,1,1.8,4.0,10,1250000000
100,2018,45000.0,0,6.5,25,28,1,7588,2,2.0,4.0,6,5500000000
49,2007,500000.0,1,8.2,9,35,7,3824,3,2.4,4.0,10,1000000000
180,1402,21000.0,1,7.1,19,28,1,2796,2,1.5,4.0,13,417000000
23,2017,7000.0,0,6.2,19,29,1,10416,3,2.0,4.0,6,18000000000
35,1402,12000.0,0,7.3,8,28,1,366,3,1.6,4.0,13,885000000
134,1396,110000.0,0,6.7,29,28,1,10469,2,1.4,4.0,13,1450000000
132,1395,252000.0,0,8.8,19,28,1,10155,1,2.0,4.0,13,950000000
19,2016,55000.0,0,7.3,19,28,1,7918,1,2.0,4.0,6,7450000000
68,1393,254000.0,1,6.9,4,28,14,10267,3,1.6,4.0,12,315000000
54,1397,79000.0,0,7.6,19,28,1,7210,1,1.6,4.0,10,800000000
103,1401,27000.0,0,7.0,29,26,6,4549,1,1.6,4.0,8,2070000000
151,1398,39000.0,1,6.4,29,28,1,5873,2,1.3,4.0,13,310000000
113,1392,220000.0,1,8.2,19,21,6,7157,1,1.8,4.0,13,484000000
22,2016,30000.0,0,6.5,36,29,1,7711,3,2.0,4.0,6,10300000000
102,1401,35000.0,0,6.9,29,28,1,4598,3,1.5,4.0,10,1350000000
164,1393,220000.0,1,9.0,9,35,6,2321,3,1.8,4.0,11,310000000
184,1386,242000.0,1,7.0,29,21,8,11199,3,1.5,4.0,11,198000000
165,1387,325000.0,1,9.1,9,28,2,6118,3,1.8,4.0,11,315000000
172,1399,110000.0,0,6.4,29,28,1,6923,3,1.5,4.0,9,1150000000
149,2014,152000.0,0,7.5,28,28,7,6272,0,1.6,4.0,11,1500000000
107,2017,35000.0,0,7.9,29,26,1,11638,1,2.0,4.0,7,8600000000
89,1403,2500.0,1,7.3,19,17,1,9889,3,1.7,4.0,12,680000000
145,2015,268000.0,0,8.0,29,28,4,7953,3,2.4,4.0,9,2280000000
61,1396,136000.0,0,7.7,19,28,1,8733,2,1.6,4.0,12,570000000
160,1400,60000.0,1,6.4,9,28,1,2354,2,1.4,4.0,14,500000000
162,1401,45000.0,1,6.6,34,28,1,9034,2,1.6,4.0,11,675000000
63,1401,14000.0,0,7.8,29,28,1,3264,3,1.7,4.0,10,815000000
164,1398,90000.0,1,7.5,19,35,1,8161,3,1.6,4.0,13,510000000
53,1396,161000.0,1,6.9,19,21,4,5414,2,1.5,4.0,13,310000000
25,1395,180000.0,1,6.4,19,28,7,9106,3,1.5,4.0,11,370000000
34,1401,64000.0,0,7.3,19,28,1,10433,3,1.6,4.0,13,750000000
82,1401,25000.0,1,13.8,0,28,1,9934,4,2.4,4.0,21,600000000
53,1398,100000.0,1,6.9,19,33,1,5749,2,1.5,4.0,13,335000000
173,1396,117000.0,0,9.0,26,28,14,10487,1,2.0,4.0,12,920000000
119,2017,78000.0,0,9.3,29,28,1,9916,1,2.4,4.0,10,4200000000
141,2008,300000.0,0,10.9,7,35,8,6544,1,2.7,6.0,10,860000000
165,1395,263000.0,1,9.5,19,28,11,9511,3,1.8,4.0,13,410000000
53,1393,250000.0,1,6.9,34,21,1,10050,2,1.5,4.0,13,280000000
182,2010,205000.0,0,9.8,18,28,1,1466,3,2.7,6.0,8,1450000000
164,1393,233000.0,1,9.0,34,35,4,10224,3,1.8,4.0,11,277000000
160,1387,320000.0,1,6.4,19,7,6,813,2,1.4,4.0,14,270000000
170,1399,71000.0,0,6.9,29,28,1,1455,3,1.5,4.0,9,930000000
160,1400,47000.0,1,6.4,19,28,1,3902,2,1.4,4.0,14,500000000
130,1403,9000.0,0,7.0,29,28,1,1111,5,1.6,4.0,7,1770000000
165,1400,69000.0,1,9.1,19,28,1,433,3,1.8,4.0,11,515000000
110,1390,320000.0,1,6.6,29,35,1,4290,3,1.6,4.0,13,254200000
185,2010,190000.0,0,7.9,29,28,14,9155,3,2.0,4.0,10,1220000000
152,1396,211000.0,1,6.4,19,28,11,10351,3,1.3,4.0,13,245000000
160,1392,370000.0,1,6.4,19,7,1,10653,2,1.6,4.0,11,390000000
